n,Mass M(n),Energy E(n),Spin f(n),B(n),Sigma(n),Tuning T(n)
1,1.4238109875908756e-27,2.18e-18,271824407540176.5,1.0,1.0,1.0
2,2.2722866836959926e-27,2.18e-18,215170663214019.75,1.0,1.0,1.0
3,2.694752723520812e-27,2.18e-18,197585540990888.6,1.0,1.0,1.0
4,2.8519843177501803e-27,2.18e-18,192061826029798.72,1.0,1.0,1.0
5,2.8602965981072563e-27,2.18e-18,191782548470592.4,1.0,1.0,1.0
6,2.800798475076967e-27,2.18e-18,193808887898050.1,1.0,1.0,1.0
7,2.7266430575456764e-27,2.18e-18,196426679829030.1,1.0,1.0,1.0
8,2.6680863830392445e-27,2.18e-18,198570476052734.9,1.0,1.0,1.0
9,2.6372819345578838e-27,2.18e-18,199726798342272.78,1.0,1.0,1.0
10,2.6334695029378713e-27,2.18e-18,199871316700462.72,1.0,1.0,1.0
11,2.6483367959818274e-27,2.18e-18,199309506053775.72,1.0,1.0,1.0
12,2.6709410959675735e-27,2.18e-18,198464331208683.16,1.0,1.0,1.0
13,2.6915510219134162e-27,2.18e-18,197703023795876.03,1.0,1.0,1.0
14,2.7039824663832167e-27,2.18e-18,197248034620326.47,1.0,1.0,1.0
15,2.706336558813202e-27,2.18e-18,197162228380984.47,1.0,1.0,1.0
16,2.700385139869647e-27,2.18e-18,197379373187367.2,1.0,1.0,1.0
17,2.690096408541738e-27,2.18e-18,197756468459738.94,1.0,1.0,1.0
18,2.679893764442855e-27,2.18e-18,198132550936849.03,1.0,1.0,1.0
19,2.6731843769154126e-27,2.18e-18,198381040153434.97,1.0,1.0,1.0
20,2.6715138426288494e-27,2.18e-18,198443055654286.56,1.0000000000000004,1.0,1.0000000000000004
21,2.6744620528374602e-27,2.18e-18,198333648013838.03,1.0000000000000024,1.0,1.0000000000000024
22,2.6801649101989853e-27,2.18e-18,198122528389551.06,1.0000000000000127,1.0,1.0000000000000127
23,2.686187145515663e-27,2.18e-18,197900315656976.34,1.0000000000000615,1.0,1.0000000000000615
24,2.6904165494807312e-27,2.18e-18,197744702284536.4,1.0000000000002869,1.0,1.0000000000002869
25,2.6916994938375584e-27,2.18e-18,197697571152814.16,1.0000000000012854,1.0,1.0000000000012854
26,2.6900621377956473e-27,2.18e-18,197757728140702.8,1.0000000000055347,1.0,1.0000000000055347
27,2.686513940928439e-27,2.18e-18,197888278704323.94,1.0000000000228972,1.0,1.0000000000228972
28,2.6825608040146998e-27,2.18e-18,198034033363485.66,1.0000000000910148,1.0,1.0000000000910148
29,2.679627816163124e-27,2.18e-18,198142382843990.3,1.000000000347589,1.0,1.000000000347589
