n,M(n),M_total,omega,f
1,8.9894116997959860240932249842176257060832020681282e-28,8.9894116997959860240932249842176257060832020681282e-28,181808740199811.10174561295574301812830622955058257,28935759700110.119735469626981820258874053683499991
2,5.2156942827897747524344631653208967997116374270863e-28,1.4205105982585760776527688149538522505794839495214e-27,144629922590158.00631128100215544274104839351382504,23018567099221.825154115805025335766565492442080208
3,2.5311613480451855055372007014913826421009280580093e-28,1.6736267330630946282064888851029905147895767553224e-27,133245052032721.83580104619706491093984177322773145,21206608673544.476707860227954670461355544129053169
4,9.1908187410644896739399191055475411719230804445372e-29,1.7655349204737395249458880761584659265088075597677e-27,129730543324182.37550068234180786993881179429793096,20647257240040.908332671155944727417948058596261303
5,4.7448704607112503635420767908039222341884199050224e-30,1.7702797909344507753094301529492698487429959796728e-27,129556568665890.04347972317608660397621943912003538,20619568313200.960292899274450035254771391514044575
6,-3.319522058109770718340705894587742093770302738733e-29,1.7370845703533530681260230940033924278052929522854e-27,130788606195773.8902940326920299521370139332415279,20815653176156.703231739979311039347059044936494584
7,-4.047051274004211433703341512450702462113081114885e-29,1.6966140576133109537889896788788854031841621411366e-27,132339308899580.91395904253882391696906112647929077,21062455176733.558311788334917795638106747231272423
8,-3.1284571957337797584735003241044957810710757287856e-29,1.6653294856559731562042546756378404453734513838487e-27,133576576068180.01362297120376437354932625617897233,21259372362541.418490546451123664946591615269105651
9,-1.6122800987129624652186353369514563335074220854209e-29,1.6492066846688435315520683222683258820383771629945e-27,134227916687098.63535996868221403406471297065811175,21363036441678.851619612285106035592070665086713242
10,-1.9561401234476417361274229130703923916751739656825e-30,1.6472505445453958898159408993552554896467019890288e-27,134307592092088.14440087989476826537428985942229652,21375717176225.780644710526538201788057675302176355
11,7.4831074723484804594883079068041972208139503428055e-30,1.6547336520177443702754292072620596868675159393717e-27,134003562202474.53091744713745374129378202919233939,21327329316446.090769940934926151459517394141112973
