n,omega(n),delta_omega(n)^2
21,1246167063119875.0,3.304330881249778e+27
22,1244840559398497.8,3.474152795065445e+27
23,1243444355622116.0,2.4305936159717478e+27
24,1242466607966800.8,7.35784609216967e+26
25,1242170474332452.8,9.391678539438424e+26
26,1242548451834879.0,2.0391316931470077e+27
27,1243368725218067.2,2.2782016386095884e+27
28,1244284528750965.0,1.6946311656132978e+27
29,1244965308614912.5,5.994986740671143e+26
30,1245206054566348.2,5.606917437190011e+26
31,1244980894064231.2,1.3749330434638997e+27
32,1244428581133328.2,1.6059394772599077e+27
33,1243783161995791.2,1.24825723722388e+27
34,1243281262155520.8,4.9799403943757815e+26
35,1243080971935290.8,3.399270571612014e+26
36,1243217692057488.5,9.665408385874667e+26
37,1243606356804007.2,1.1874961027721774e+27
38,1244083705699141.5,9.677424883827976e+26
39,1244472582773317.2,4.2855866129889074e+26
40,1244644755717787.0,2.088483398846578e+26
41,1244560854115179.5,7.103672018554236e+26
42,1244275432689261.8,9.127683116557439e+26
43,1243908591530098.8,7.737456468679196e+26
44,1243597538770291.2,3.738838355004936e+26
45,1243447206197362.2,1.2401809230648713e+26
46,1243497073857567.2,5.387419763852798e+26
47,1243713678733460.5,7.333314746136904e+26
48,1244008459032064.2,6.561303428777936e+26
49,1244272147275751.2,3.49377182000796e+26
50,1244412533554773.2,7.285566442956087e+25
51,1244383260094646.2,4.6518060874131115e+26
52,1244196333942131.0,6.946911057305584e+26
53,1243917129992713.0,6.777937400004644e+26
54,1243644656865178.5,4.0623035884875275e+26
55,1243481323619482.0,4.133192093081298e+25
56,1243497942946183.5,5.112297255125889e+26
57,1243703487104905.8,8.20030731968422e+26
58,1244033116347338.5,8.285250531424235e+26
59,1244366071388164.0,5.145277212519911e+26
60,1244572797124887.0,8.513336053642166e+23
61,1244572455106435.2,5.017787773389842e+26
62,1244370851969910.5,8.024089004077831e+26
63,1244048394690461.0,8.120781609248869e+26
64,1243721966586981.2,5.205418347969402e+26
65,1243512681212456.0,4.076407633217898e+25
66,1243496290408563.8,3.974300500291701e+26
67,1243656083613909.8,5.936787716493149e+26
68,1243894743570185.5,5.1992347213149125e+26
69,1244103716156201.0,2.9396622721131082e+26
70,1244221854325377.2,3.9972726614137745e+25
71,1244237917565404.5,1.878240244688941e+26
72,1244162437739954.2,3.626718035696095e+26
73,1244016679823649.2,4.273142920094712e+26
74,1243844920151803.5,3.2247075712721194e+26
75,1243715286804146.0,7.141926591018372e+25
76,1243686574408684.8,1.9820873272223592e+26
77,1243766257822237.0,3.4536336781444854e+26
78,1243905087804108.0,3.264899178980909e+26
79,1244036316745955.8,2.0315091578240533e+26
80,1244117963980356.0,5.11678026162738e+25
