n,M_total,omega,phase,Δω²
1,8.9894116998e-28,4.75821601803e+15,4.75821601803e+15,8.312965122427526e+30
2,1.42051059826e-27,3.78518883965e+15,8.54340485767e+15,2.16688731681854e+30
3,1.67362673306e-27,3.48722916296e+15,1.20306340206e+16,6.330512419368481e+29
4,1.76553492047e-27,3.39524903255e+15,1.54258830532e+16,3.0897669043567007e+28
5,1.77027979093e-27,3.39069584658e+15,1.88165788998e+16,2.197011168937965e+29
6,1.73708457035e-27,3.42294017489e+15,2.22395190746e+16,2.794822706869617e+29
7,1.69661405761e-27,3.46352446383e+15,2.57030435385e+16,2.2535467123979777e+29
8,1.66532948566e-27,3.49590565988e+15,2.91989491984e+16,1.194771392721988e+29
9,1.64920668467e-27,3.51295225161e+15,3.271190145e+16,1.4654965323440522e+28
10,1.64725054455e-27,3.51503748023e+15,3.62269389302e+16,5.587451981282607e+28
11,1.65473365202e-27,3.50708054763e+15,3.97340194778e+16,8.245213111326338e+28
12,1.66590124707e-27,3.4953056857e+15,4.32293251635e+16,7.29017241319367e+28
13,1.67590161531e-27,3.48486156287e+15,4.67141867264e+16,4.280168867132105e+28
14,1.68182911732e-27,3.47871505353e+15,5.01929017799e+16,7.935655211179494e+27
15,1.68293271768e-27,3.47757426498e+15,5.36704760449e+16,1.9754156292186194e+28
16,1.68018821541e-27,3.48041332671e+15,5.71508893716e+16,3.3758115986811805e+28
17,1.6755187641e-27,3.48525968053e+15,6.06361490522e+16,3.3141989603786616e+28
18,1.67095971498e-27,3.49001103585e+15,6.4126160088e+16,2.1564794101377294e+28
19,1.66800653807e-27,3.49309917186e+15,6.76192592599e+16,5.302722760333043e+27
20,1.6672819584e-27,3.49385811778e+15,7.11131173777e+16,9.222693901682797e+27
21,1.66854257947e-27,3.4925380246e+15,7.46056554023e+16,1.7554857018816508e+28
22,1.67094737293e-27,3.49002392489e+15,7.80956793271e+16,1.8234856845525217e+28
23,1.67345266857e-27,3.48741052064e+15,8.15830898478e+16,1.260634009910554e+28
24,1.67518905627e-27,3.48560264507e+15,8.50686924929e+16,3.7700132733440156e+27
25,1.67570903519e-27,3.4850618052e+15,8.85537542981e+16,4.7518417417127957e+27
26,1.67505369058e-27,3.48574348279e+15,9.20394977808e+16,1.0184549220542988e+28
27,1.67365082577e-27,3.487204063e+15,9.55267018438e+16,1.123181444010191e+28
28,1.6721064282e-27,3.48881412395e+15,9.90155159678e+16,8.249837799112238e+27
29,1.67097387292e-27,3.48999625061e+15,1.02505512218e+17,2.8837822332687717e+27
30,1.67057834296e-27,3.49040937592e+15,1.05995921594e+17,2.667220662463038e+27
31,1.67094416356e-27,3.49002727652e+15,1.09485948871e+17,6.473007795475433e+27
32,1.67183263052e-27,3.48909979551e+15,1.12975048666e+17,7.486358462944557e+27
33,1.67286136617e-27,3.48802680961e+15,1.16463075476e+17,5.763077849762541e+27
34,1.67365416057e-27,3.48720058883e+15,1.19950276065e+17,2.2769679922181577e+27
35,1.67396759747e-27,3.48687409849e+15,1.23437150163e+17,1.5389001020115725e+27
36,1.67375574673e-27,3.48709476195e+15,1.26924244925e+17,4.3316467656087755e+27
37,1.67315972385e-27,3.48771580345e+15,1.30411960729e+17,5.268136226508656e+27
38,1.67243541436e-27,3.48847096331e+15,1.33900431692e+17,4.250688363266085e+27
39,1.67185144948e-27,3.48908015818e+15,1.3738951185e+17,1.864484909567571e+27
40,1.67159543286e-27,3.48934733655e+15,1.40878859187e+17,9.004407956716972e+26
41,1.67171906462e-27,3.48921830706e+15,1.44368077494e+17,3.0367198651070964e+27
42,1.67213614531e-27,3.4887831223e+15,1.47856860616e+17,3.870319548324427e+27
43,1.67266801915e-27,3.48822839775e+15,1.51345089014e+17,3.254857157054695e+27
44,1.67311557584e-27,3.48776181781e+15,1.54832850832e+17,1.5603418693970164e+27
45,1.67333021442e-27,3.4875381225e+15,1.58320388954e+17,5.134148370475739e+26
46,1.67325958367e-27,3.48761172878e+15,1.61808000683e+17,2.2121231624025436e+27
47,1.6729553289e-27,3.48792885447e+15,1.65295929537e+17,2.986452786085116e+27
48,1.67254474855e-27,3.48835694083e+15,1.68784286478e+17,2.6504381411644305e+27
49,1.67218053256e-27,3.48873681793e+15,1.72273023296e+17,1.4002523129674427e+27
50,1.67198817774e-27,3.48893749401e+15,1.7576196079e+17,2.8981304960463432e+26
51,1.67202798617e-27,3.48889596062e+15,1.79250856751e+17,1.8373394567185427e+27
52,1.67228040542e-27,3.48863263824e+15,1.82739489389e+17,2.725311052333116e+27
53,1.67265495728e-27,3.48824201763e+15,1.86227731407e+17,2.641579728498446e+27
54,1.67301816173e-27,3.48786335653e+15,1.89715594763e+17,1.5728719880153198e+27
55,1.67323449896e-27,3.48763787137e+15,1.93203232635e+17,1.589684088274355e+26
56,1.67321263146e-27,3.48766066157e+15,1.96690893296e+17,1.9528269078927772e+27
57,1.67294404957e-27,3.48794061262e+15,2.00178833909e+17,3.110538679620398e+27
58,1.6725164199e-27,3.48838648315e+15,2.03667220392e+17,3.120822531256421e+27
59,1.67208759607e-27,3.48883377053e+15,2.07156054162e+17,1.9249516549439588e+27
60,1.67182320327e-27,3.48910963285e+15,2.10645163795e+17,3.164642023705559e+24
61,1.67182363787e-27,3.48910917934e+15,2.14134272975e+17,1.8541498872131716e+27
62,1.67207830467e-27,3.48884346388e+15,2.17623116439e+17,2.880204756822073e+27
63,1.67247405363e-27,3.48843066589e+15,2.21111547104e+17,2.977404032338325e+27
64,1.67288335504e-27,3.48800388571e+15,2.2459955099e+17,1.8065788506786005e+27
65,1.6731318017e-27,3.48774490579e+15,2.28087295896e+17,1.2143024358899092e+26
66,1.67314850383e-27,3.48772749761e+15,2.31575023394e+17,1.4630889294915592e+27
67,1.67294728534e-27,3.48793723948e+15,2.35062960633e+17,1.885556583561162e+27
68,1.67268803628e-27,3.48820752581e+15,2.38551168159e+17,1.9122667287713522e+27
69,1.67242519683e-27,3.48848161954e+15,2.42039649778e+17,1.3751790424572573e+27
70,1.67223623069e-27,3.48867871678e+15,2.45528328495e+17,1.4050000999602956e+26
71,1.6722169267e-27,3.48869885328e+15,2.49017027348e+17,8.77466806008339e+26
72,1.67233749348e-27,3.48857309255e+15,2.52505600441e+17,1.3461685926424178e+27
73,1.6725224952e-27,3.4883801475e+15,2.55993980588e+17,1.1726198159869837e+27
74,1.67268367976e-27,3.48821206834e+15,2.59482192657e+17,1.1496066063033558e+27
75,1.67284173116e-27,3.48804727994e+15,2.62970239937e+17,1.6358875412349727e+26
76,1.67286422426e-27,3.48802382995e+15,2.66458263767e+17,5.7964285217114536e+26
77,1.67278452733e-27,3.4881069194e+15,2.69946370686e+17,1.2468404763552933e+27
78,1.67261312102e-27,3.48828564221e+15,2.73434656328e+17,8.916382425451127e+26
79,1.6724905668e-27,3.48841344452e+15,2.76923069773e+17,1.0430936559149416e+27
80,1.67234721806e-27,3.48856294963e+15,2.80411632722e+17,2.183430615287748e+26
81,1.67231721505e-27,3.48859424362e+15,2.83900226966e+17,3.8877448457593725e+26
82,1.67237063818e-27,3.48853852238e+15,2.87388765488e+17,1.1824705049375548e+27
83,1.6725331474e-27,3.48836903891e+15,2.90877134527e+17,7.989688692673515e+26
84,1.67264296913e-27,3.48825451806e+15,2.94365389045e+17,8.79790026688744e+26
85,1.67276391676e-27,3.48812840829e+15,2.97853517454e+17,2.8661594264722533e+26
86,1.67280332257e-27,3.48808732356e+15,3.01341604777e+17,2.601252496651216e+26
87,1.67276755879e-27,3.48812461102e+15,3.04829729388e+17,1.0326887217871395e+27
88,1.67262559284e-27,3.4882726371e+15,3.08318002025e+17,8.209693670066884e+26
89,1.6725127496e-27,3.48839031075e+15,3.11806392336e+17,6.86385667291683e+26
90,1.67241841674e-27,3.48848869079e+15,3.15294881027e+17,3.461120739203155e+26
91,1.67237085314e-27,3.48853829818e+15,3.18783419325e+17,1.916177725096076e+26
92,1.67239718541e-27,3.48851083417e+15,3.22271930159e+17,8.197093745953424e+26
93,1.67250983988e-27,3.48839334518e+15,3.25760323504e+17,8.868474448912371e+26
94,1.67263173838e-27,3.48826622884e+15,3.29248589733e+17,5.249224201183571e+26
95,1.67270389811e-27,3.48819098687e+15,3.3273678072e+17,3.743811987113997e+26
96,1.67275536714e-27,3.48813732236e+15,3.36224918043e+17,1.6105200136225435e+26
97,1.67273322571e-27,3.48816040796e+15,3.39713078451e+17,5.973629368600829e+26
98,1.67265110537e-27,3.48824603413e+15,3.43201324485e+17,9.253487688557465e+26
99,1.67252391226e-27,3.48837866972e+15,3.46689703154e+17,4.380098612274856e+26
100,1.6724637127e-27,3.48844145045e+15,3.50178144605e+17,3.620105049727181e+26
101,1.67241396167e-27,3.48849333721e+15,3.53666637942e+17,1.4184861813591322e+26
102,1.67243345554e-27,3.48847300622e+15,3.57155110948e+17,4.171507874178472e+26
103,1.67249078609e-27,3.48841321582e+15,3.60643524164e+17,8.931629196884231e+26
104,1.67261354992e-27,3.48828519496e+15,3.64131809359e+17,4.321135247174288e+26
105,1.67267294972e-27,3.4882232566e+15,3.67620032616e+17,3.1562422532168394e+26
106,1.67271633916e-27,3.4881780149e+15,3.71108210631e+17,1.1575043291942099e+26
107,1.67270042647e-27,3.48819460668e+15,3.74596405237e+17,3.052121423687467e+26
108,1.67265846916e-27,3.48823835571e+15,3.78084643593e+17,7.85413624538288e+26
109,1.67255050854e-27,3.48835093416e+15,3.81572994527e+17,4.828995164338506e+26
110,1.67248413753e-27,3.48842014949e+15,3.85061414677e+17,2.5624368492039267e+26
111,1.67244892085e-27,3.48845687705e+15,3.88549871554e+17,7.872635696057132e+25
112,1.67245974039e-27,3.4884455932e+15,3.92038317147e+17,2.6027812939650314e+26
113,1.67249551202e-27,3.48840828725e+15,3.95526725434e+17,6.295545151009227e+26
114,1.67258204191e-27,3.48831805087e+15,3.99015043485e+17,5.485133161993973e+26
115,1.6726574403e-27,3.48823942853e+15,4.02503282913e+17,2.081486231668147e+26
116,1.67268605409e-27,3.48820959263e+15,4.05991492506e+17,3.7153067817803807e+25
117,1.67268094666e-27,3.48821491815e+15,4.09479707424e+17,2.5957972777392647e+26
118,1.6726452631e-27,3.48825212605e+15,4.1296795955e+17,4.677234286125177e+26
119,1.67258097056e-27,3.48831916807e+15,4.16456278718e+17,5.888708529364819e+26
120,1.67250003232e-27,3.48840357315e+15,4.19944682292e+17,1.8972031236761612e+26
121,1.6724739576e-27,3.48843076605e+15,4.23433113058e+17,1.1314175618533299e+24
122,1.67247411309e-27,3.48843060388e+15,4.26921543661e+17,2.7333264874311666e+26
123,1.67251167957e-27,3.48839142664e+15,4.30409935088e+17,3.389320208880719e+26
124,1.67255826429e-27,3.48834284631e+15,4.33898277934e+17,5.792856878306956e+26
125,1.67263789056e-27,3.48825981368e+15,4.37386537748e+17,2.055364614768317e+26
126,1.6726661446e-27,3.48823035238e+15,4.408747681e+17,2.2618847406208025e+25
127,1.67266925395e-27,3.48822711021e+15,4.44362995211e+17,2.7635012969298927e+26
128,1.67263126561e-27,3.48826672182e+15,4.47851261932e+17,2.648723005002109e+26
129,1.67259485668e-27,3.48830468779e+15,4.5133956662e+17,5.17843286906663e+26
130,1.67252367933e-27,3.48837891264e+15,4.54827945533e+17,2.461715180047426e+26
131,1.67248984528e-27,3.48841419697e+15,4.5831635973e+17,3.4104389452958546e+25
132,1.67248515805e-27,3.48841908521e+15,4.61804778815e+17,2.564548801477692e+26
133,1.67252040528e-27,3.48838232698e+15,4.65293161142e+17,2.4581139041070042e+26
134,1.67255419107e-27,3.48834709394e+15,4.68781508236e+17,4.222739524939481e+26
135,1.67261223412e-27,3.48828656704e+15,4.72269794803e+17,2.9233963849245176e+26
136,1.67265241959e-27,3.48824466375e+15,4.75758039467e+17,3.928346217164632e+25
137,1.6726578197e-27,3.48823903291e+15,4.792462785e+17,2.1467873665217215e+26
138,1.67262830924e-27,3.48826980457e+15,4.82734548304e+17,2.6398732916810493e+26
139,1.67259202208e-27,3.48830764366e+15,4.86222855948e+17,3.211340283358786e+26
140,1.67254788178e-27,3.48835367341e+15,4.89711209621e+17,3.2370021629715406e+26
141,1.67250339111e-27,3.48840007038e+15,4.93199609692e+17,4.6338646934899296e+25
142,1.67249702233e-27,3.48840671219e+15,4.96688016404e+17,1.6172191702834015e+26
143,1.67251924958e-27,3.48838353221e+15,5.00176399936e+17,2.934480171613581e+26
144,1.67255958293e-27,3.48834147121e+15,5.03664741407e+17,2.4180830577504304e+26
145,1.67259282006e-27,3.48830681154e+15,5.07153048219e+17,3.2630973956960174e+26
146,1.6726376742e-27,3.48826003929e+15,5.10641308258e+17,6.103142594698096e+25
147,1.67264606377e-27,3.48825129116e+15,5.14129559549e+17,1.106455746625062e+26
148,1.67263085415e-27,3.48826715087e+15,5.176178267e+17,3.103111032084796e+26
